"","Idtransecto","zona","fecha","hora","indivs"
"1","1","velada","45019","0.42152777777777778","12"
"2","2","velada","45019","0.42708333333333331","12"
"3","3","velada","45019","0.4375","9"
"4","4","velada","45019","0.4458333333333333","6"
"5","5","velada","45019","0.44861111111111113","12"
"6","6","velada","45019","0.4548611111111111","3"
"7","7","velada","45019","0.46666666666666662","6"
"8","8","velada","45019","0.47916666666666669","0"
"9","1","velada","45025","0.3125","0"
"10","2","velada","45025","0.32291666666666669","4"
"11","3","velada","45025","0.32777777777777778","8"
"12","4","velada","45025","0.33749999999999997","13"
"13","5","velada","45025","0.34722222222222227","30"
"14","6","velada","45025","0.35625000000000001","44"
"15","7","velada","45025","0.3611111111111111","5"
"16","8","velada","45025","0.36944444444444446","8"
